KINASE GENE,KINASE common name,KIN_ACC_ID,SUBSTRATE common name,SUB_GENE_ID,SUB_ACC_ID,SUBSTRATE GENE,SUB_MOD_RSD,SITE_GRP_ID,SITE_+/-7_AA,Source / support
AAK1,AAK1,Q2M2I8,AP2M1,1173,Q96CW1,AP2M1,T156,448782,SQItsQVtGQIGWRR,PA2_2023
AAK1,AAK1,Q2M2I8,NUMB,8650,P49757,NUMB,T102,3333403,LRVVDEKtKDLIVDQ,PA2_2023
ABL1,Abl,P00519,Abi-1,10006,Q8IZP0,ABI1,Y213,449523,PPtVPNDyMtsPARL,PA2_2023
ABL1,ABL1,P00519,ABL1,25,P00519,ABL1,Y226,,KRNKPtVyGVsPNyD,PA1_2016
ABL1,Abl,P00519,Abl,25,P00519,ABL1,Y393,450298,RLMtGDtytAHAGAk,PA2_2023
ABL1,Abl,P00519,Abl iso2,25,P00519-2,ABL1,Y412,450298,RLMTGDtyTAHAGAK,PA2_2023
ABL1,ABL1,P00519,ABL1,25,P00519,ABL1,Y469,,EGCPEKVyELMRACW,PA1_2016
ABL1,Abl,P00519,Arg,27,P42684,ABL2,Y261,455657,GLVTTLHyPAPKCNK,PA2_2023
ABL1,Abl,P00519,AHSA1,10598,O95433,AHSA1,Y223,3914778,LtsPEELyRVFTTQE,PA2_2023
ABL1,Abl,P00519,ANXA1,301,P04083,ANXA1,Y21,447974,IENEEQEyVQtVkss,PA2_2023
ABL1,Abl,P00519,RhoGDI beta,397,P52566,ARHGDIB,Y130,4113623,LkYVQHtyRTGVkVD,PA2_2023
ABL1,Abl,P00519,RhoGDI beta,397,P52566,ARHGDIB,Y24,448978,ELdskLNykPPPQks,PA2_2023
ABL1,Abl,P00519,ATR,545,Q13535,ATR,Y291,15434301,DTDQLKLyEEPLSkL,PA2_2023
ABL1,Abl,P00519,ATR,545,Q13535,ATR,Y310,15434300,FPFEAEAyRNIEPVY,PA2_2023
ABL1,Abl,P00519,Bcr,613,P11274,BCR,Y177,447792,ADAEKPFyVNVEFHH,PA2_2023
